county_fips,environmental_burden_percentile
51001,25.8
51003,28.9
51005,21.6
51007,29.5
51009,30.3
51011,21.6
51013,36.8
51015,22.9
51017,13.4
51019,16.2
51021,2.9
51023,24.5
51025,18.4
51027,29.0
51029,33.5
51031,41.4
51033,22.1
51035,10.0
51036,27.0
51037,15.5
51041,29.8
51043,19.2
51045,5.2
51047,35.5
51049,13.8
51051,17.6
51053,42.7
51057,26.7
51059,25.6
51061,23.6
51063,6.1
51065,11.1
51067,9.2
51069,28.6
51071,14.2
51073,10.5
51075,27.8
51077,3.9
51079,6.2
51081,45.4
51083,40.1
51085,36.4
51087,41.0
51089,40.8
51091,8.0
51093,18.4
51095,20.0
51097,31.6
51099,22.2
51101,23.6
51103,16.1
51105,16.6
51107,16.3
51109,18.6
51111,24.6
51113,11.4
51115,4.3
51117,23.4
51119,8.7
51121,19.2
51125,15.1
51127,36.7
51131,38.0
51133,21.2
51135,38.3
51137,23.6
51139,19.9
51141,6.8
51143,28.6
51145,22.3
51147,11.3
51149,59.8
51153,18.7
51155,40.4
51157,2.7
51159,31.7
51161,35.7
51163,9.6
51165,30.8
51167,17.8
51169,21.9
51171,21.7
51173,18.0
51175,28.2
51177,18.3
51179,28.7
51181,12.4
51183,33.6
51185,28.2
51187,42.6
51191,33.9
51193,13.8
51195,33.1
51197,23.0
51199,47.5
51510,47.3
51520,51.7
51530,23.4
51540,38.3
51550,33.2
51570,70.5
51580,51.0
51590,51.9
51595,49.3
51600,24.7
51610,25.8
51620,69.4
51630,51.1
51640,20.6
51650,22.7
51660,54.1
51670,77.3
51678,3.0
51680,52.3
51683,29.5
51685,17.4
51690,66.8
51700,38.6
51710,52.4
51720,38.3
51730,73.5
51735,11.5
51740,55.8
51750,31.1
51760,67.2
51770,56.3
51775,52.4
51790,27.8
51800,37.9
51810,21.2
51820,65.3
51830,41.2
51840,78.0
