county_fips,rucc_2023
51001,9
51003,3
51005,6
51007,1
51009,2
51011,2
51013,1
51015,3
51017,9
51019,2
51021,8
51023,2
51025,8
51027,9
51029,8
51031,2
51033,8
51035,6
51036,1
51037,8
51041,1
51043,1
51045,2
51047,1
51049,8
51051,9
51053,1
51057,8
51059,1
51061,1
51063,3
51065,3
51067,2
51069,3
51071,3
51073,1
51075,1
51077,9
51079,3
51081,6
51083,6
51085,1
51087,1
51089,4
51091,8
51093,1
51095,1
51097,1
51099,8
51101,1
51103,9
51105,8
51107,1
51109,8
51111,9
51113,8
51115,1
51117,7
51119,8
51121,3
51125,3
51127,1
51131,8
51133,9
51135,8
51137,6
51139,8
51141,8
51143,4
51145,1
51147,6
51149,1
51153,1
51155,3
51157,1
51159,9
51161,2
51163,6
51165,3
51167,8
51169,2
51171,6
51173,7
51175,6
51177,1
51179,1
51181,1
51183,1
51185,7
51187,1
51191,2
51193,8
51195,7
51197,6
51199,1
51510,1
51520,2
51530,6
51540,3
51550,1
51570,1
51580,6
51590,4
51595,6
51600,1
51610,1
51620,6
51630,1
51640,6
51650,1
51660,3
51670,1
51678,6
51680,2
51683,1
51685,1
51690,4
51700,1
51710,1
51720,7
51730,1
51735,1
51740,1
51750,3
51760,1
51770,2
51775,2
51790,3
51800,1
51810,1
51820,3
51830,1
51840,3
